Body,Type,Parent,Elapsed Time (seconds in orbit),Period (seconds),Eccentricity,Semi-Major Axis,Inclination,Ascending Node,Radius (km),Mass (kg),AxialTilt,North Pole RA,Sidereal Rotation Period,Elapsed Time (seconds revolving),
Sun,Planet,Sun,0,0,0,0,0,0,695700,1.9885e30,0,0,0,0,
Mercury,Planet,Sun,0,7600530,0.20563,57909050,7.005,48.331,2439.7,3.3011e23,0.034,281.01,84450,0,
Venus,Planet,Sun,0,19414170,0.006772,108208000,3.39458,76.68,6051.8,4.8675e24,2.64,272.76,53153.11,0,
Earth,Planet,Sun,0,31558149.7635456,0.0167086,149598023,0.00005,-11.26064,6371,5.972168e24,23.4392811,0,86164.100352,0,
Moon,Moon,Earth,0,,,,,,1737.4,7.342e22,6.687,266.86,2360592,0,
Mars,Planet,Sun,0,59355070,0.0934,227939366,1.85,49.57854,3389.5,6.4171e23,25.19,317.6814,88642.69,0,
Jupiter,Planet,Sun,0,374335776,0.0489,778479000,1.303,100.464,69911,1.8982e27,3.13,268.057,35730,0,
Saturn,Planet,Sun,0,32666976,0.0565,1433530000,2.485,113.665,58232,5.683426,26.73,40.589,37955.88,0,
Uranus,Planet,Sun,0,2651486400,0.04717,2870972000,0.773,74.006,25362,8.6810e25,97.77,257.311,62063.712,0,rotation retrograde
Neptune,Planet,Sun,0,5200848000,0.008678,4500000000,1.770,131.783,24622,1.02413e26,28.32,299.3,58000.32,0,
Pluto,DwarfPlanet,Sun,0,7824384000,0.2488,5906380000,17.16,110.299,1188.3,1.303e22,122.53,132.993,551856.672,0,rotation retrograde
Earth - Equatorial,Player,Earth,2000,5574,0.007,6793,0,0,,419725,,,,,
Earth - ISS,Player,Earth,0,5574,0.007,6793,51.64,180,,419725,,,,,
Earth - Geostationary,Player,Earth,40000,86164.1,0,42164,0,0,,419725,,,,,
Moon - Apollo 11,Player,Moon,0,7140.86,0.0058954,1849,0,0,,419725,,,,,
Earth - Test - Equatorial,Ship,Earth,1999.999,5574,0.007,6793,0,0,0.002,419725,0,0,88642.69,0,
Saturn - Titan - 45 inc,Player,Saturn,0,1377648,0.0288,1221870,45,0,2574.73,419725,0,0,1377648,0,
Saturn - Titan,Player,Titan,0,1000,0,3000,15,0,,419725,,,,,
Saturn - Enceladus,Player,Enceladus,0,300,0,300,15,0,,419725,,,,,
